address,city,zip,beds,bathf,bathp,carg,sqft,listedatpr,soldatpr,listedatdate,soldatdate,neighb,schdist,ncrime,pid,tom,prdiff,prdiff_perc,prdiff_np
3808 11th Avenue S,Minneapolis,55407,2,1,0,2,1451,15e4,15e4,2017-12-29,2018-01-08,Bancroft,1.7,166,pid_21684811/,10,0,0,3
2626 Queen Avenue N,Minneapolis,55411,5,2,1,2,1845,225e3,225e3,2017-12-02,2018-01-08,Jordan,0.6,862,pid_21189988/,37,0,0,3
5100 16th Avenue S,Minneapolis,55417,2,1,1,1,1018,234900,233400,2017-12-01,2018-01-08,Hale,0.4,58,pid_21188928/,38,-1500,-0.006385696040868455,2
1616 Blair Avenue,Saint Paul,55104,3,1,0,1,1407,245e3,24e4,2017-11-22,2018-01-08,Hamline/Midway,0.3,3875,pid_21100818/,47,-5e3,-0.02040816326530612,2
476 York Avenue,Saint Paul,55130,3,1,0,0,1142,99900,95900,2017-11-03,2018-01-08,Payne/Phalen,0.2,9685,pid_20794379/,66,-4e3,-0.04004004004004004,2
806 Carroll Avenue,Saint Paul,55104,2,1,0,0,978,129900,119900,2017-10-30,2018-01-08,Summit/University,0.2,4545,pid_20731465/,70,-1e4,-0.07698229407236336,2
3601 Dupont Avenue S,Minneapolis,55409,4,2,0,2,1770,395e3,37e4,2017-10-27,2018-01-08,East Harriet,0.6,125,pid_20705778/,73,-25e3,-0.06329113924050633,2
670 Case Avenue,Saint Paul,55106,3,1,0,1,1128,99900,85e3,2017-10-24,2018-01-08,Payne/Phalen,0.2,9685,pid_20630537/,76,-14900,-0.14914914914914915,2
3504 Stevens Avenue,Minneapolis,55408,5,1,1,2,2645,249900,257500,2017-10-11,2018-01-08,Lyndale,0.4,533,pid_20274615/,89,7600,0.03041216486594638,1
2530 Vincent Avenue N,Minneapolis,55411,3,1,0,2,1050,175e3,166e3,2017-09-29,2018-01-08,Willard - Hay,0.8,689,pid_20089004/,101,-9e3,-0.05142857142857143,2
2862 James Avenue S,Minneapolis,55408,3,2,0,2,2542,699e3,579750,2017-09-14,2018-01-08,East Isles,0.8,255,pid_19874893/,116,-119250,-0.17060085836909872,2
1997 Berkeley Avenue,Saint Paul,55105,4,1,2,2,1948,372500,369900,2017-08-28,2018-01-08,Macalester-Groveland,0.1,2082,pid_19653273/,133,-2600,-0.00697986577181208,2
1240 Watson Avenue,Saint Paul,55116,3,2,2,2,2400,464900,442500,2017-08-18,2018-01-08,Highland,0.5,2768,pid_19509330/,143,-22400,-0.04818240481824048,2
457 Macalester Street,Saint Paul,55105,3,1,1,1,1328,274900,283e3,2017-11-29,2018-01-05,Macalester-Groveland,0.9,2082,pid_21151498/,37,8100,0.029465260094579847,1
4838 32nd Avenue S,Minneapolis,55417,2,1,0,1,1360,229e3,239400,2017-11-26,2018-01-05,Keewaydin,0.5,133,pid_21110606/,40,10400,0.045414847161572056,1
977 Fuller Avenue,Saint Paul,55104,2,1,0,1,847,155e3,155e3,2017-11-09,2018-01-05,Summit/University,0.3,4545,pid_20904205/,57,0,0,3
5239 York Avenue S,Minneapolis,55410,3,1,1,2,1900,427500,427500,2017-10-26,2018-01-05,Fulton,0.4,137,pid_20668467/,71,0,0,3
1215 Juliet Avenue,Saint Paul,55105,3,1,1,1,1752,339900,340500,2017-10-24,2018-01-05,Macalester-Groveland,0.2,2082,pid_20628348/,73,600,0.00176522506619594,1
743 Iowa Avenue W,Saint Paul,55117,3,1,0,2,1050,21e4,198e3,2017-10-07,2018-01-05,Como,0.9,2555,pid_20213074/,90,-12e3,-0.05714285714285714,2
1288 Rice Street,Saint Paul,55117,2,1,1,2,1200,145e3,135500,2017-10-06,2018-01-05,North End,1.3,6153,pid_20190346/,91,-9500,-0.06551724137931035,2
4736 Ewing Avenue S,Minneapolis,55410,4,1,3,2,3030,839e3,765e3,2017-09-22,2018-01-05,Fulton,0.6,137,pid_19994271/,105,-74e3,-0.08820023837902265,2
