address,city,zip,beds,bathf,bathp,carg,sqft,listedatpr,soldatpr,listedatdate,soldatdate,neighb,schdist,ncrime,pid,tom,prdiff,prdiff_perc,prdiff_np
1991 5th Street E,Saint Paul,55119,2,1,0,1,740,155e3,149e3,2017-11-08,2018-01-26,Conway/Battlecreek/Highwood,0.1,4453,pid_20880370/,79,-6e3,-0.03870967741935484,2
4163 Burton Lane,Minneapolis,55406,3,1,2,2,2758,45e4,428e3,2017-11-03,2018-01-26,Hiawatha,0.3,341,pid_20799044/,84,-22e3,-0.04888888888888889,2
88 Geranium Avenue W,Saint Paul,55117,3,1,1,2,1752,194900,175e3,2017-10-26,2018-01-26,Como,1.1,2555,pid_20673377/,92,-19900,-0.10210364289379169,2
1721 Cottage Avenue E,Saint Paul,55106,3,1,0,2,864,164900,153e3,2017-10-25,2018-01-26,Greater East Side,0.3,5697,pid_20644451/,93,-11900,-0.07216494845360824,2
2037 Selby Avenue,Saint Paul,55104,3,1,1,2,2546,48e4,425e3,2017-10-18,2018-01-26,Summit/University,0.8,4545,pid_20369763/,100,-55e3,-0.11458333333333333,2
2536 28th Avenue S,Minneapolis,55406,4,1,2,4,1040,26e4,236e3,2017-10-18,2018-01-26,Seward,0.4,527,pid_20368335/,100,-24e3,-0.09230769230769231,2
5936 Newton Avenue S,Minneapolis,55419,4,2,0,2,1629,3e5,274e3,2017-10-12,2018-01-26,Armatage,0.4,96,pid_20293859/,106,-26e3,-0.08666666666666667,2
467 Portland Avenue,Saint Paul,55102,6,2,2,2,5278,795e3,775e3,2017-10-02,2018-01-26,Summit/University,1.1,4545,pid_20124555/,116,-2e4,-0.025157232704402517,2
2400 13th Avenue S,Minneapolis,55404,5,2,0,2,3382,295e3,284900,2017-09-12,2018-01-26,Midtown Phillips,0.4,581,pid_19844001/,136,-10100,-0.03423728813559322,2
463 Mount Curve Boulevard,Saint Paul,55105,4,2,1,2,3442,775e3,625e3,2017-09-11,2018-01-26,Macalester-Groveland,0.6,2082,pid_19819053/,137,-15e4,-0.1935483870967742,2
1505 Dale Street N,Saint Paul,55117,3,1,1,2,1692,192500,176e3,2017-08-26,2018-01-26,Como,0.8,2555,pid_19618443/,153,-16500,-0.08571428571428572,2
4710 Dupont Avenue N,Minneapolis,55430,1,1,0,1,800,99e3,86e3,2017-08-18,2018-01-26,Lind - Bohanon,0.4,352,pid_19507853/,161,-13e3,-0.13131313131313133,2
642 Brimhall Street,Saint Paul,55116,3,2,1,2,2204,55e4,44e4,2017-08-12,2018-01-25,Highland,0.3,2768,pid_22703672/,166,-11e4,-0.2,2
1524 Alameda Street,Saint Paul,55117,2,1,0,2,1103,18e4,18e4,2017-12-14,2018-01-25,Como,0.8,2555,pid_21317775/,42,0,0,3
4324 Colfax Avenue S,Minneapolis,55409,3,2,0,2,2137,499900,478500,2017-11-16,2018-01-25,East Harriet,0.9,125,pid_21028208/,70,-21400,-0.04280856171234247,2
682 Lowry Avenue NE,Minneapolis,55418,2,1,0,0,864,64900,75e3,2017-12-20,2018-01-25,Holland,1,279,pid_21472968/,36,10100,0.15562403697996918,1
1607 Upton Avenue N,Minneapolis,55411,4,2,0,2,2700,239900,255e3,2017-12-18,2018-01-25,Willard - Hay,1.1,689,pid_21426090/,38,15100,0.06294289287203002,1
4718 Emerson Avenue N,Minneapolis,55430,4,3,0,2,1745,249900,265500,2017-12-13,2018-01-25,Lind - Bohanon,0.4,352,pid_21313407/,43,15600,0.062424969987995196,1
1075 Dale Street N,Saint Paul,55117,3,1,1,2,1577,2e5,208750,2017-12-04,2018-01-25,Como,0.4,2555,pid_21204361/,52,8750,0.04375,1
