address,city,zip,beds,bathf,bathp,carg,price,sqft,pid,soldatpr,soldatdate,listedatdate,schooldistance,neighborhood
4213 Washburn Avenue S,Minneapolis,55410,3,1,1,1,402000,1698,pid_21734880/,147000,2018-01-30,2018-01-04,0.5,Linden Hills
5612 Humboldt Avenue S,Minneapolis,55419,4,2,1,3,397500,2023,pid_21107504/,397500,2018-01-29,2017-11-25,0.2,Kenny
2817 W 40th Street,Minneapolis,55410,3,1,1,2,625000,2419,pid_20303264/,625000,2018-01-29,2017-10-13,0.5,Linden Hills
2627 James Avenue N,Minneapolis,55411,3,1,1,3,130000,1334,pid_19648483/,130000,2018-01-29,2017-08-29,0.5,Jordan
5521 27th Avenue S,Minneapolis,55417,3,1,0,2,229900,1404,pid_21320902/,229900,2018-01-29,2017-12-14,0.3,Wenonah
20 Belvidere Street E,Saint Paul,55107,3,1,1,2,239000,1824,pid_21312040/,239000,2018-01-29,2017-12-13,0.3,West Side
1984 Larpenteur Avenue E,Saint Paul,55109,3,1,1,3,180000,1545,pid_21310501/,180000,2018-01-29,2017-12-13,0.7,Greater East Side
1205 Irving Avenue N,Minneapolis,55411,4,1,3,3,219900,2322,pid_21254861/,219900,2018-01-29,2017-12-07,0.3,Near - North
4530 Thomas Avenue N,Minneapolis,55412,3,1,0,2,194000,1516,pid_20739065/,194000,2018-01-29,2017-10-31,0.2,Victory
5404 Park Avenue,Minneapolis,55417,3,1,1,3,420000,2247,pid_20723697/,420000,2018-01-29,2017-10-30,0.4,Page
924 Lafond Avenue,Saint Paul,55104,3,2,0,2,177000,1640,pid_20669616/,177000,2018-01-29,2017-10-26,0.6,Thomas/Dale(Frogtown)
5953 Fremont Avenue S,Minneapolis,55419,4,1,1,3,325000,1600,pid_20287359/,325000,2018-01-29,2017-10-11,0.3,Kenny
1955 Montana Avenue E,Saint Paul,55119,3,1,0,2,158500,1042,pid_20156706/,158500,2018-01-29,2017-10-04,0.4,Greater East Side
1049 Lincoln Avenue,Saint Paul,55105,3,1,2,3,526500,2699,pid_19884526/,526500,2018-01-29,2017-09-15,0.7,Summit Hill
988 Kennard Street,Saint Paul,55106,3,1,1,3,200000,1453,pid_19359809/,200000,2018-01-29,2017-08-10,0.4,Greater East Side
1455 Maywood Street,Saint Paul,55117,3,1,0,2,215000,1221,pid_19668027/,215000,2018-01-27,2017-08-30,0.7,Como
4406 Cedar Avenue S,Minneapolis,55407,4,1,1,3,300000,1704,pid_21306011/,300000,2018-01-26,2017-12-13,1.0,Northrop
4156 Minnehaha Avenue,Minneapolis,55406,3,1,0,3,231500,1525,pid_21051835/,231500,2018-01-26,2017-11-18,0.4,Hiawatha
5344 Ewing Avenue S,Minneapolis,55410,2,1,0,2,393000,1386,pid_20751252/,393000,2018-01-26,2017-11-01,0.8,Fulton
2325 Walton Place,Minneapolis,55411,2,1,1,3,76900,843,pid_21709850/,76900,2018-01-26,2018-01-02,0.9,Willard - Hay
1096 Mackubin Street,Saint Paul,55117,3,1,1,2,172000,1334,pid_21359563/,172000,2018-01-26,2017-12-18,0.5,North End
1 Linder Court,Saint Paul,55106,3,1,1,2,185000,1578,pid_21338497/,185000,2018-01-26,2017-12-14,0.2,Conway/Battlecreek/Highwood
5421 28th Avenue S,Minneapolis,55417,3,1,0,1,226500,1241,pid_21252116/,226500,2018-01-26,2017-12-07,0.3,Wenonah
1823 Girard Avenue N,Minneapolis,55411,3,1,1,3,184900,1911,pid_21198428/,184900,2018-01-26,2017-12-04,0.3,Near - North
3311 Cleveland Street NE,Minneapolis,55418,3,1,1,3,269900,1700,pid_21098826/,269900,2018-01-26,2017-11-24,0.2,Waite Park
487 Ruth Street N,Saint Paul,55119,3,2,0,2,225000,1712,pid_20923060/,225000,2018-01-26,2017-11-10,0.4,Conway/Battlecreek/Highwood
5256 37th Avenue S,Minneapolis,55417,4,1,2,3,294140,2163,pid_20915082/,294140,2018-01-26,2017-11-10,0.5,Minnehaha
1991 5th Street E,Saint Paul,55119,2,1,0,2,149000,740,pid_20880370/,149000,2018-01-26,2017-11-08,0.1,Conway/Battlecreek/Highwood
4163 Burton Lane,Minneapolis,55406,3,1,2,3,428000,2758,pid_20799044/,428000,2018-01-26,2017-11-03,0.3,Hiawatha
88 Geranium Avenue W,Saint Paul,55117,3,1,1,3,175000,1752,pid_20673377/,175000,2018-01-26,2017-10-26,1.1,Como
1721 Cottage Avenue E,Saint Paul,55106,3,1,0,3,153000,864,pid_20644451/,153000,2018-01-26,2017-10-25,0.3,Greater East Side
2037 Selby Avenue,Saint Paul,55104,3,1,1,3,425000,2546,pid_20369763/,425000,2018-01-26,2017-10-18,0.8,Summit/University
2536 28th Avenue S,Minneapolis,55406,4,1,2,5,236000,1040,pid_20368335/,236000,2018-01-26,2017-10-18,0.4,Seward
5936 Newton Avenue S,Minneapolis,55419,4,2,0,3,274000,1629,pid_20293859/,274000,2018-01-26,2017-10-12,0.4,Armatage
467 Portland Avenue,Saint Paul,55102,6,2,2,3,775000,5278,pid_20124555/,775000,2018-01-26,2017-10-02,1.1,Summit/University
2400 13th Avenue S,Minneapolis,55404,5,2,0,3,284900,3382,pid_19844001/,284900,2018-01-26,2017-09-12,0.4,Midtown Phillips
463 Mount Curve Boulevard,Saint Paul,55105,4,2,1,3,625000,3442,pid_19819053/,625000,2018-01-26,2017-09-11,0.6,Macalester-Groveland
1505 Dale Street N,Saint Paul,55117,3,1,1,3,176000,1692,pid_19618443/,176000,2018-01-26,2017-08-26,0.8,Como
4710 Dupont Avenue N,Minneapolis,55430,1,1,0,2,86000,800,pid_19507853/,86000,2018-01-26,2017-08-18,0.4,Lind - Bohanon
642 Brimhall Street,Saint Paul,55116,3,2,1,3,440000,2204,pid_22703672/,440000,2018-01-25,2017-08-12,0.3,Highland
1524 Alameda Street,Saint Paul,55117,2,1,0,3,180000,1103,pid_21317775/,180000,2018-01-25,2017-12-14,0.8,Como
4324 Colfax Avenue S,Minneapolis,55409,3,2,0,3,478500,2137,pid_21028208/,478500,2018-01-25,2017-11-16,0.9,East Harriet
682 Lowry Avenue NE,Minneapolis,55418,2,1,0,1,75000,864,pid_21472968/,75000,2018-01-25,2017-12-20,1.0,Holland
1607 Upton Avenue N,Minneapolis,55411,4,2,0,3,255000,2700,pid_21426090/,255000,2018-01-25,2017-12-18,1.1,Willard - Hay
4718 Emerson Avenue N,Minneapolis,55430,4,3,0,3,265500,1745,pid_21313407/,265500,2018-01-25,2017-12-13,0.4,Lind - Bohanon
1075 Dale Street N,Saint Paul,55117,3,1,1,3,208750,1577,pid_21204361/,208750,2018-01-25,2017-12-04,0.4,Como
1113 Hudson Road,Saint Paul,55106,3,1,0,3,179400,1480,pid_21120610/,179400,2018-01-25,2017-11-27,0.7,Dayton's Bluff
5752 20th Avenue S,Minneapolis,55417,4,1,1,2,270000,1800,pid_21114646/,270000,2018-01-25,2017-11-27,0.3,Wenonah
76 Prospect Boulevard,Saint Paul,55107,4,1,1,2,400000,2200,pid_20407471/,400000,2018-01-25,2017-10-20,0.7,West Side
1617 Hewitt Avenue,Saint Paul,55104,2,1,1,2,158500,1072,pid_20074991/,158500,2018-01-25,2017-09-28,0.2,Hamline/Midway
313 King Street W,Saint Paul,55107,3,1,1,3,207000,1423,pid_21671786/,207000,2018-01-24,2017-12-28,0.3,West Side
1303 Hubbard Avenue,Saint Paul,55104,4,2,0,3,249900,1880,pid_21073161/,249900,2018-01-24,2017-11-21,0.5,Hamline/Midway
678 Maryland Avenue W,Saint Paul,55117,2,2,0,3,170000,1770,pid_20942158/,170000,2018-01-24,2017-11-11,0.1,Como
4408 47th Avenue S,Minneapolis,55406,5,2,3,4,550000,3920,pid_20919990/,550000,2018-01-24,2017-11-10,0.4,Hiawatha
5125 14th Avenue S,Minneapolis,55417,4,1,0,2,364000,1368,pid_20029164/,364000,2018-01-24,2017-09-26,0.3,Hale
4540 Penn Avenue N,Minneapolis,55412,5,1,1,3,209000,1898,pid_21803186/,209000,2018-01-24,2018-01-09,0.3,Victory
901 Summer Street NE,Minneapolis,55413,3,1,1,3,207000,1292,pid_21641882/,207000,2018-01-24,2017-12-21,0.4,St. Anthony East
3534 Upton Avenue N,Minneapolis,55412,3,1,0,2,145000,1014,pid_20919691/,145000,2018-01-24,2017-11-10,0.4,Cleveland
766 Jackson Street,Saint Paul,55117,3,1,1,3,190500,1800,pid_20380688/,190500,2018-01-24,2017-10-19,0.8,North End
3334 Taylor Street NE,Minneapolis,55418,1,1,0,2,171900,1439,pid_21660018/,171900,2018-01-23,2017-12-26,0.5,Waite Park
2012 Sheridan Avenue S,Minneapolis,55405,3,3,1,4,749000,3138,pid_19247699/,749000,2018-01-23,2017-08-03,0.3,Lyndale
1817 Highland Parkway,Saint Paul,55116,3,2,2,1,415000,1459,pid_22617415/,415000,2018-01-23,2017-07-28,0.7,Highland
2115 E 35th Street,Minneapolis,55407,4,1,2,3,259900,2298,pid_21322258/,259900,2018-01-23,2017-12-14,1.3,Corcoran
1818 Wellesley Avenue,Saint Paul,55105,3,1,1,3,450000,1836,pid_21204178/,450000,2018-01-23,2017-12-04,0.5,Macalester-Groveland
3000 E 35th Street,Minneapolis,55406,2,2,0,2,165100,964,pid_21145342/,165100,2018-01-22,2017-11-29,0.8,Howe
700 Thomas Avenue N,Minneapolis,55411,2,1,0,2,115000,768,pid_20741506/,115000,2018-01-22,2017-10-31,0.8,Willard - Hay
5043 30th Avenue S,Minneapolis,55417,2,1,1,3,268000,1656,pid_21279566/,268000,2018-01-22,2017-12-11,0.2,Keewaydin
