address,city,zip,beds,bathf,bathp,carg,price,sqft,pid,soldatpr,soldatdate,listedatdate,schooldistance,neighborhood
2652 Fremont Avenue N,Minneapolis,55411,4,3,3,3,190000,2474,pid_21301493/,190000,2018-01-16,2017-12-12,0.3,Jordan
1978 Case Avenue E,Saint Paul,55119,1,1,0,3,112000,800,pid_21283423/,112000,2018-01-16,2017-12-11,0.5,Greater East Side
897 Central Avenue W,Saint Paul,55104,2,1,0,1,116400,720,pid_21282999/,116400,2018-01-16,2017-12-11,0.1,Summit/University
3520 21st Avenue S,Minneapolis,55407,3,2,0,3,280000,1514,pid_21251971/,280000,2018-01-16,2017-12-07,0.8,Corcoran
4220 42nd Avenue S,Minneapolis,55406,3,1,1,3,272300,1636,pid_21249782/,272300,2018-01-16,2017-12-07,0.1,Hiawatha
1344 Logan Avenue N,Minneapolis,55411,4,1,2,3,218000,1456,pid_21228331/,218000,2018-01-16,2017-12-06,0.2,Willard - Hay
1098 Margaret Street,Saint Paul,55106,4,1,0,1,108000,1483,pid_21109986/,108000,2018-01-16,2017-11-26,0.8,Dayton's Bluff
471 White Bear Avenue N,Saint Paul,55106,3,1,1,2,122500,1440,pid_20992279/,122500,2018-01-16,2017-11-14,0.6,Conway/Battlecreek/Highwood
4951 N 4th Court N,Minneapolis,55430,5,1,1,3,175000,1736,pid_20947638/,175000,2018-01-16,2017-11-11,0.3,Lind - Bohanon
1081 Laurel Avenue,Saint Paul,55104,4,1,0,1,252735,2300,pid_19572328/,252735,2018-01-16,2017-08-23,0.3,Lind - Bohanon
1312 17th Avenue N,Minneapolis,55411,3,1,0,3,90000,1433,pid_21349197/,90000,2018-01-15,2017-12-04,0.4,Summit/University
4720 Zenith Avenue S,Minneapolis,55410,4,1,1,3,435000,1712,pid_21036257/,435000,2018-01-15,2017-11-17,0.1,Fulton
1217 Arkwright Street,Saint Paul,55130,4,2,0,3,160000,1138,pid_20980942/,160000,2018-01-15,2017-11-13,0.5,Payne/Phalen
6129 Thomas Avenue S,Minneapolis,55410,3,1,0,3,274900,1587,pid_20788163/,274900,2018-01-15,2017-11-02,0.9,Armatage
4138 40th Avenue S,Minneapolis,55406,2,1,0,2,260225,1178,pid_20304546/,260225,2018-01-15,2017-10-13,0.2,Hiawatha
4003 S Nokomis Avenue,Minneapolis,55406,2,1,1,2,175300,654,pid_20280402/,175300,2018-01-15,2017-10-11,0.4,Standish
794 Cottage Avenue E,Saint Paul,55106,4,1,1,2,214900,1625,pid_20189337/,214900,2018-01-15,2017-10-06,0.8,Payne/Phalen
3010 Russell Avenue N,Minneapolis,55411,3,2,0,3,145000,1886,pid_21218551/,145000,2018-01-12,2017-12-05,0.3,Jordan
1370 Wellesley Avenue,Saint Paul,55105,2,1,0,1,199000,1042,pid_21197384/,199000,2018-01-12,2017-12-04,0.1,Macalester-Groveland
4700 Washburn Avenue N,Minneapolis,55430,4,1,0,3,220975,1958,pid_21144792/,220975,2018-01-12,2017-11-29,0.4,Victory
6115 15th Avenue S,Minneapolis,55423,3,1,1,3,249900,2640,pid_21102776/,249900,2018-01-12,2017-11-24,1.0,Diamond Lake
4153 Drew Avenue S,Minneapolis,55410,3,1,0,3,397100,1532,pid_21064701/,397100,2018-01-12,2017-11-20,0.1,Linden Hills
737 Wilson Avenue,Saint Paul,55106,4,1,1,3,200747,1708,pid_21042562/,200747,2018-01-12,2017-11-17,0.1,Dayton's Bluff
4837 Zenith Avenue S,Minneapolis,55410,2,1,0,2,291000,1014,pid_21015745/,291000,2018-01-12,2017-11-16,0.2,Fulton
3901 Beard Avenue S,Minneapolis,55410,4,1,1,2,565000,2285,pid_20987468/,565000,2018-01-12,2017-11-14,0.2,Linden Hills
2826 Fillmore Street NE,Minneapolis,55418,3,1,0,2,206000,1172,pid_20819900/,206000,2018-01-12,2017-11-14,0.4,Audubon Park
4745 Garfield Avenue,Minneapolis,55419,4,2,1,3,492000,2142,pid_20668984/,492000,2018-01-12,2017-10-26,0.3,Tangletown
349 Hamline Avenue S,Saint Paul,55105,4,1,1,3,352450,2417,pid_20390360/,352450,2018-01-12,2017-10-19,0.1,Macalester-Groveland
361 Pleasant Avenue,Saint Paul,55102,3,2,1,4,585000,2492,pid_18239743/,585000,2018-01-12,2017-06-01,1.1,Summit/University
2314 11th Avenue S,Minneapolis,55404,4,1,1,2,201000,2492,pid_21462243/,201000,2018-01-12,2017-12-19,0.4,Ventura Village
415 Thomas Avenue,Saint Paul,55103,2,1,0,3,109900,1774,pid_21278903/,109900,2018-01-12,2017-12-10,0.1,Thomas/Dale(Frogtown)
2655 Madison Street NE,Minneapolis,55418,3,1,1,3,215000,1330,pid_21199191/,215000,2018-01-12,2017-12-04,0.5,Holland
5319 40th Avenue S,Minneapolis,55417,2,1,0,2,229900,1009,pid_21177588/,229900,2018-01-12,2017-12-01,0.7,Holland
3811 Minnehaha Avenue,Minneapolis,55406,3,1,1,3,257500,1764,pid_21161373/,257500,2018-01-12,2017-11-30,0.6,Minnehaha
4427 Wentworth Avenue S,Minneapolis,55419,3,2,0,2,272100,1244,pid_21156901/,272100,2018-01-12,2017-11-30,0.6,Windom 
2310 23rd Avenue S,Minneapolis,55404,2,1,0,3,215520,1050,pid_21156218/,215520,2018-01-12,2017-11-30,0.8,Seward
2623 Logan Avenue N,Minneapolis,55411,2,1,0,1,81000,864,pid_21078477/,81000,2018-01-12,2017-11-21,0.7,Jordan
403 Hatch Avenue,Saint Paul,55117,3,1,1,3,200000,1233,pid_21077358/,200000,2018-01-12,2017-11-21,0.8,North End
1632 Thomas Avenue,Saint Paul,55104,2,1,0,3,190000,872,pid_21074021/,190000,2018-01-12,2017-11-21,0.4,Hamline/Midway
1503 Portland Avenue,Saint Paul,55104,5,1,1,3,385000,2025,pid_21038988/,385000,2018-01-12,2017-11-17,0.4,Summit/University
5321 Woodlawn Boulevard,Minneapolis,55417,4,1,1,3,440000,2170,pid_21008670/,440000,2018-01-12,2017-11-14,0.4,Keewaydin
1723 Field Avenue,Saint Paul,55116,3,1,1,3,283000,2115,pid_21002778/,283000,2018-01-12,2017-11-15,0.6,Highland
1108 Jessamine Avenue E,Saint Paul,55106,2,1,0,1,80000,672,pid_20993105/,80000,2018-01-12,2017-11-14,0.8,Payne/Phalen
1712 Montana Avenue E,Saint Paul,55106,2,1,1,3,198000,1596,pid_20949318/,198000,2018-01-12,2017-11-12,0.4,Greater East Side
2130 Bryant Avenue N,Minneapolis,55411,4,2,0,3,207000,2016,pid_20922939/,207000,2018-01-12,2017-11-10,0.4,Hawthorne
322 E 48th Street,Minneapolis,55419,2,1,0,1,240000,1124,pid_20801374/,240000,2018-01-12,2017-11-03,0.2,Field
1417 Asbury Street,Saint Paul,55108,3,1,2,3,269900,1655,pid_20794668/,269900,2018-01-12,2017-11-03,0.6,Como
914 Queen Avenue N,Minneapolis,55411,3,1,1,3,168500,1515,pid_20697408/,168500,2018-01-12,2017-10-27,0.6,Willard - Hay
2122 Thomas Avenue N,Minneapolis,55411,3,1,0,1,139950,1240,pid_20393229/,139950,2018-01-12,2017-10-19,0.8,Willard - Hay
2178 3rd Street E,Saint Paul,55119,4,1,1,2,215000,929,pid_20390267/,215000,2018-01-12,2017-10-18,0.5,Conway/Battlecreek/Highwood
1371 Nebraska Avenue W,Saint Paul,55108,5,2,5,1,370000,2598,pid_20183191/,370000,2018-01-12,2017-10-05,0.1,Como
1901 Palace Avenue,Saint Paul,55105,5,4,1,4,625000,3385,pid_20178971/,625000,2018-01-12,2017-10-05,0.5,Macalester-Groveland
919 Desoto Street,Saint Paul,55130,3,1,1,1,130000,1185,pid_20170175/,130000,2018-01-12,2017-10-05,0.2,Payne/Phalen
4904 Harriet Avenue,Minneapolis,55419,3,1,1,4,420000,2160,pid_20092047/,420000,2018-01-12,2017-09-29,0.2,Tangletown
4620 Ewing Avenue S,Minneapolis,55410,4,1,1,3,545000,2172,pid_20060728/,545000,2018-01-12,2017-09-27,0.2,Linden Hills
3319 Russell Avenue N,Minneapolis,55412,3,2,2,3,189900,1560,pid_20029924/,189900,2018-01-12,2017-09-26,0.1,Cleveland
3459 James Avenue N,Minneapolis,55412,3,1,0,2,125000,1348,pid_19919612/,125000,2018-01-12,2017-09-18,0.4,Folwell
1663 Nevada Avenue E,Saint Paul,55106,3,1,0,2,160000,1205,pid_19790916/,160000,2018-01-12,2017-09-08,0.4,Greater East Side
459 Laurel Avenue,Saint Paul,55102,3,2,1,3,448000,2038,pid_19779919/,448000,2018-01-12,2017-09-07,0.9,Summit/University
2129 Waukon Avenue,Saint Paul,55119,3,1,0,2,139900,983,pid_19772026/,139900,2018-01-12,2017-09-05,0.9,Greater East Side
2231 Hillside Avenue,Saint Paul,55108,3,1,1,3,445000,2685,pid_19688817/,445000,2018-01-12,2017-08-31,0.2,St. Anthony
5933 Park Avenue,Minneapolis,55417,3,1,1,3,273500,2066,pid_19682006/,273500,2018-01-12,2017-08-31,0.9,Diamond Lake
1027 Minnehaha Avenue W,Saint Paul,55104,2,1,1,2,159000,1363,pid_19390740/,159000,2018-01-12,2017-08-11,0.8,Thomas/Dale(Frogtown)
5345 1st Avenue S,Minneapolis,55419,3,1,0,2,265000,1700,pid_19257642/,265000,2018-01-12,2017-08-03,0.5,Tangletown
1990 Ivy Avenue E,Saint Paul,55119,4,2,0,3,214900,1880,pid_19123398/,214900,2018-01-12,2017-07-27,0.3,Greater East Side
280 Winona Street E,Saint Paul,55107,3,1,1,3,180900,1000,pid_18582915/,180900,2018-01-12,2017-06-22,0.6,West Side
4904 Humboldt Lane N,Minneapolis,55430,3,1,2,3,338545,1910,pid_18277317/,338545,2018-01-12,2017-06-03,0.2,Lind - Bohanon
2001 Morgan Avenue,Saint Paul,55116,3,1,1,3,259900,975,pid_18274564/,259900,2018-01-12,2017-06-03,0.9,Highland
1312 Russell Avenue N,Minneapolis,55411,3,1,0,3,138000,1093,pid_17048384/,138000,2018-01-12,2017-03-22,0.5,Willard - Hay
4223 15th Avenue S,Minneapolis,55407,3,1,1,2,252500,1507,pid_21173068/,252500,2018-01-11,2017-12-01,1.1,Northrop
3822 E 49th Street,Minneapolis,55417,5,2,2,3,575000,2763,pid_21143007/,575000,2018-01-11,2017-11-29,0.7,Minnehaha
5242 Dupont Avenue N,Minneapolis,55430,3,1,2,3,170000,1950,pid_21099637/,170000,2018-01-11,2017-11-22,0.3,Lind - Bohanon
2718 Johnson Street NE,Minneapolis,55418,2,1,0,2,204000,960,pid_19406487/,204000,2018-01-11,2017-08-14,0.3,Audubon Park
864 19th Avenue Se,Minneapolis,55414,5,1,2,3,288000,2326,pid_17991998/,288000,2018-01-11,2017-05-17,2.1,Como
3230 Logan Avenue N,Minneapolis,55412,3,1,1,2,171000,1340,pid_21223216/,171000,2018-01-11,2017-12-05,0.3,Folwell
5232 Drew Avenue S,Minneapolis,55410,2,1,1,3,320000,770,pid_21144823/,320000,2018-01-11,2017-11-28,0.6,Fulton
4436 43rd Avenue S,Minneapolis,55406,3,1,1,3,186000,1111,pid_21039618/,186000,2018-01-11,2017-11-17,0.3,Hiawatha
461 Nevada Avenue E,Saint Paul,55130,4,1,1,3,205000,1487,pid_20978167/,205000,2018-01-11,2017-11-13,1.0,Payne/Phalen
723 Orange Avenue E,Saint Paul,55106,2,1,0,2,122500,1136,pid_20926773/,122500,2018-01-11,2017-11-10,0.6,Payne/Phalen
829 Lawson Avenue E,Saint Paul,55106,2,1,0,2,57000,734,pid_20743681/,57000,2018-01-11,2017-10-31,0.7,Payne/Phalen
1801 Mechanic Avenue,Saint Paul,55119,4,2,0,3,199900,1852,pid_19897508/,199900,2018-01-11,2017-09-15,0.2,Greater East Side
1396 Margaret Street,Saint Paul,55106,2,1,1,2,175000,1371,pid_19530303/,175000,2018-01-11,2017-08-20,0.3,Dayton's Bluff
2021 E Hawthorne Avenue E,Saint Paul,55119,3,1,0,2,162500,1274,pid_19210408/,162500,2018-01-11,2017-08-02,0.4,Greater East Side
3501 Girard Avenue N,Minneapolis,55412,3,1,0,3,157500,1824,pid_18897810/,157500,2018-01-11,2017-07-13,0.6,Folwell
613 Goodrich Avenue,Saint Paul,55102,5,3,1,3,920000,3449,pid_21820413/,920000,2018-01-10,2017-07-28,1.3,Summit Hill
2428 Bryant Avenue S,Minneapolis,55405,4,1,1,3,500000,2496,pid_21091918/,500000,2018-01-10,2017-11-22,0.3,Lowry Hill East
6020 Russell Avenue S,Minneapolis,55410,3,1,1,3,305000,1600,pid_21118007/,305000,2018-01-10,2017-11-27,0.7,Armatage
5516 45th Avenue S,Minneapolis,55417,1,1,0,2,152500,612,pid_21095050/,152500,2018-01-10,2017-11-22,1.1,Morris Park
4558 29th Avenue S,Minneapolis,55406,3,1,0,1,175000,858,pid_20985163/,175000,2018-01-10,2017-11-14,0.4,Ericsson
2815 Lyndale Avenue N,Minneapolis,55411,5,2,0,3,167000,2105,pid_19846823/,167000,2018-01-10,2017-09-13,0.2,Hawthorne
3628 Architect Avenue,Minneapolis,55418,3,1,2,2,215000,1950,pid_19241320/,215000,2018-01-10,2017-08-02,0.8,Columbia Park
679 Burr Street,Saint Paul,55130,2,1,0,3,145000,884,pid_18630657/,145000,2018-01-10,2017-06-25,0.7,Payne/Phalen
5617 1st Avenue S,Minneapolis,55419,1,2,2,2,175000,920,pid_21415179/,175000,2018-01-09,2017-12-18,0.9,Windom
4205 44th Avenue S,Minneapolis,55406,3,1,0,2,223000,1276,pid_21036972/,223000,2018-01-09,2017-11-17,0.1,Hiawatha
564 Brimhall Street,Saint Paul,55116,3,1,0,2,275000,1436,pid_21115357/,275000,2018-01-09,2017-11-27,0.2,Highland
2023 4th Street E,Saint Paul,55119,3,1,1,3,175000,1826,pid_20952594/,175000,2018-01-09,2017-11-13,0.2,Conway/Battlecreek/Highwood
3323 Cedar Lake Avenue,Minneapolis,55416,3,1,3,3,1240000,4223,pid_21118550/,1240000,2018-01-08,2017-11-27,0.9,Cedar - Isles - Dean
3808 11th Avenue S,Minneapolis,55407,2,1,0,3,150000,1451,pid_21684811/,150000,2018-01-08,2017-12-29,1.7,Bancroft
2626 Queen Avenue N,Minneapolis,55411,5,2,1,3,225000,1845,pid_21189988/,225000,2018-01-08,2017-12-02,0.6,Jordan
5100 16th Avenue S,Minneapolis,55417,2,1,1,2,233400,1018,pid_21188928/,233400,2018-01-08,2017-12-01,0.4,Hale
1616 Blair Avenue,Saint Paul,55104,3,1,0,2,240000,1407,pid_21100818/,240000,2018-01-08,2017-11-22,0.3,Hamline/Midway
476 York Avenue,Saint Paul,55130,3,1,0,1,95900,1142,pid_20794379/,95900,2018-01-08,2017-11-03,0.2,Payne/Phalen
806 Carroll Avenue,Saint Paul,55104,2,1,0,1,119900,978,pid_20731465/,119900,2018-01-08,2017-10-30,0.2,Summit/University
3601 Dupont Avenue S,Minneapolis,55409,4,2,0,3,370000,1770,pid_20705778/,370000,2018-01-08,2017-10-27,0.6,East Harriet
670 Case Avenue,Saint Paul,55106,3,1,0,2,85000,1128,pid_20630537/,85000,2018-01-08,2017-10-24,0.2,Payne/Phalen
3504 Stevens Avenue,Minneapolis,55408,5,1,1,3,257500,2645,pid_20274615/,257500,2018-01-08,2017-10-11,0.4,Lyndale
2530 Vincent Avenue N,Minneapolis,55411,3,1,0,3,166000,1050,pid_20089004/,166000,2018-01-08,2017-09-29,0.8,Willard - Hay
2862 James Avenue S,Minneapolis,55408,3,2,0,3,579750,2542,pid_19874893/,579750,2018-01-08,2017-09-14,0.8,East Isles
1997 Berkeley Avenue,Saint Paul,55105,4,1,2,3,369900,1948,pid_19653273/,369900,2018-01-08,2017-11-09,0.1,Macalester-Groveland
1240 Watson Avenue,Saint Paul,55116,3,2,2,3,442500,2400,pid_19509330/,442500,2018-01-08,2017-08-18,0.5,Highland
457 Macalester Street,Saint Paul,55105,3,1,1,2,283000,1328,pid_21151498/,283000,2018-01-05,2017-11-30,0.9,Macalester-Groveland
4838 32nd Avenue S,Minneapolis,55417,2,1,0,2,239400,1360,pid_21110606/,239400,2018-01-05,2017-11-26,0.5,Keewaydin
977 Fuller Avenue,Saint Paul,55104,2,1,0,2,155000,847,pid_20904205/,155000,2018-01-05,2017-11-09,0.3,Summit/University
5239 York Avenue S,Minneapolis,55410,3,1,1,3,427500,1900,pid_20668467/,427500,2018-01-05,2017-10-26,0.4,Fulton
1215 Juliet Avenue,Saint Paul,55105,3,1,1,2,340500,1752,pid_20628348/,340500,2018-01-05,2017-10-24,0.2,Macalester-Groveland
743 Iowa Avenue W,Saint Paul,55117,3,1,0,3,198000,1050,pid_20213074/,198000,2018-01-05,2017-10-07,0.9,Como
1288 Rice Street,Saint Paul,55117,2,1,1,3,135500,1200,pid_20190346/,135500,2018-01-05,2017-10-06,1.3,North End
4736 Ewing Avenue S,Minneapolis,55410,4,1,3,3,765000,3030,pid_19994271/,765000,2018-01-05,2017-09-22,0.6,Fulton
