address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
4223 15th Avenue S,Minneapolis,55407,3,1,1,2,252500,pid_21173068/,1507,,,,,,,,
3822 E 49th Street,Minneapolis,55417,5,2,2,3,575000,pid_21143007/,2763,,,,,,,,
5242 Dupont Avenue N,Minneapolis,55430,3,1,2,3,170000,pid_21099637/,1950,,,,,,,,
2718 Johnson Street NE,Minneapolis,55418,2,1,0,2,204000,pid_19406487/,960,,,,,,,,
864 19th Avenue Se,Minneapolis,55414,5,1,2,3,288000,pid_17991998/,2326,,,,,,,,
3230 Logan Avenue N,Minneapolis,55412,3,1,1,2,171000,pid_21223216/,1340,,,,,,,,
5232 Drew Avenue S,Minneapolis,55410,2,1,1,3,320000,pid_21144823/,770,,,,,,,,
4436 43rd Avenue S,Minneapolis,55406,3,1,1,3,186000,pid_21039618/,1111,,,,,,,,
461 Nevada Avenue E,Saint Paul,55130,4,1,1,3,205000,pid_20978167/,1487,,,,,,,,
723 Orange Avenue E,Saint Paul,55106,2,1,0,2,122500,pid_20926773/,1136,,,,,,,,
829 Lawson Avenue E,Saint Paul,55106,2,1,0,2,57000,pid_20743681/,734,,,,,,,,
1801 Mechanic Avenue,Saint Paul,55119,4,2,0,3,199900,pid_19897508/,1852,,,,,,,,
1396 Margaret Street,Saint Paul,55106,2,1,1,2,175000,pid_19530303/,1371,,,,,,,,
2021 E Hawthorne Avenue E,Saint Paul,55119,3,1,0,2,162500,pid_19210408/,1274,,,,,,,,
3501 Girard Avenue N,Minneapolis,55412,3,1,0,3,157500,pid_18897810/,1824,,,,,,,,
613 Goodrich Avenue,Saint Paul,55102,5,3,1,3,920000,pid_21820413/,3449,,,,,,,,
2428 Bryant Avenue S,Minneapolis,55405,4,1,1,3,500000,pid_21091918/,2496,,,,,,,,
6020 Russell Avenue S,Minneapolis,55410,3,1,1,3,305000,pid_21118007/,1600,,,,,,,,
5516 45th Avenue S,Minneapolis,55417,1,1,0,2,152500,pid_21095050/,612,,,,,,,,
4558 29th Avenue S,Minneapolis,55406,3,1,0,1,175000,pid_20985163/,858,,,,,,,,
2815 Lyndale Avenue N,Minneapolis,55411,5,2,0,3,167000,pid_19846823/,2105,,,,,,,,
3628 Architect Avenue,Minneapolis,55418,3,1,2,2,215000,pid_19241320/,1950,,,,,,,,
679 Burr Street,Saint Paul,55130,2,1,0,3,145000,pid_18630657/,884,,,,,,,,
5617 1st Avenue S,Minneapolis,55419,1,2,2,2,175000,pid_21415179/,920,,,,,,,,
4205 44th Avenue S,Minneapolis,55406,3,1,0,2,223000,pid_21036972/,1276,,,,,,,,
564 Brimhall Street,Saint Paul,55116,3,1,0,2,275000,pid_21115357/,1436,,,,,,,,
2023 4th Street E,Saint Paul,55119,3,1,1,3,175000,pid_20952594/,1826,,,,,,,,
3323 Cedar Lake Avenue,Minneapolis,55416,3,1,3,3,1240000,pid_21118550/,4223,,,,,,,,
3808 11th Avenue S,Minneapolis,55407,2,1,0,3,150000,pid_21684811/,1451,,,,,,,,
2626 Queen Avenue N,Minneapolis,55411,5,2,1,3,225000,pid_21189988/,1845,,,,,,,,
5100 16th Avenue S,Minneapolis,55417,2,1,1,2,233400,pid_21188928/,1018,,,,,,,,
1616 Blair Avenue,Saint Paul,55104,3,1,0,2,240000,pid_21100818/,1407,,,,,,,,
476 York Avenue,Saint Paul,55130,3,1,0,1,95900,pid_20794379/,1142,,,,,,,,
806 Carroll Avenue,Saint Paul,55104,2,1,0,1,119900,pid_20731465/,978,,,,,,,,
3601 Dupont Avenue S,Minneapolis,55409,4,2,0,3,370000,pid_20705778/,1770,,,,,,,,
670 Case Avenue,Saint Paul,55106,3,1,0,2,85000,pid_20630537/,1128,,,,,,,,
3504 Stevens Avenue,Minneapolis,55408,5,1,1,3,257500,pid_20274615/,2645,,,,,,,,
2530 Vincent Avenue N,Minneapolis,55411,3,1,0,3,166000,pid_20089004/,1050,,,,,,,,
2862 James Avenue S,Minneapolis,55408,3,2,0,3,579750,pid_19874893/,2542,,,,,,,,
1997 Berkeley Avenue,Saint Paul,55105,4,1,2,3,369900,pid_19653273/,1948,,,,,,,,
1240 Watson Avenue,Saint Paul,55116,3,2,2,3,442500,pid_19509330/,2400,,,,,,,,
457 Macalester Street,Saint Paul,55105,3,1,1,2,283000,pid_21151498/,1328,,,,,,,,
4838 32nd Avenue S,Minneapolis,55417,2,1,0,2,239400,pid_21110606/,1360,,,,,,,,
977 Fuller Avenue,Saint Paul,55104,2,1,0,2,155000,pid_20904205/,847,,,,,,,,
5239 York Avenue S,Minneapolis,55410,3,1,1,3,427500,pid_20668467/,1900,,,,,,,,
1215 Juliet Avenue,Saint Paul,55105,3,1,1,2,340500,pid_20628348/,1752,,,,,,,,
743 Iowa Avenue W,Saint Paul,55117,3,1,0,3,198000,pid_20213074/,1050,,,,,,,,
1288 Rice Street,Saint Paul,55117,2,1,1,3,135500,pid_20190346/,1200,,,,,,,,
4736 Ewing Avenue S,Minneapolis,55410,4,1,3,3,765000,pid_19994271/,3030,,,,,,,,
