address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
4156 Minnehaha Avenue,Minneapolis,55406,3,1,0,3,231500,pid_21051835/,1525,,,,,,,,
5344 Ewing Avenue S,Minneapolis,55410,2,1,0,2,393000,pid_20751252/,1386,,,,,,,,
2325 Walton Place,Minneapolis,55411,2,1,1,3,76900,pid_21709850/,843,,,,,,,,
1096 Mackubin Street,Saint Paul,55117,3,1,1,2,172000,pid_21359563/,1334,,,,,,,,
1 Linder Court,Saint Paul,55106,3,1,1,2,185000,pid_21338497/,1578,,,,,,,,
5421 28th Avenue S,Minneapolis,55417,3,1,0,1,226500,pid_21252116/,1241,,,,,,,,
1823 Girard Avenue N,Minneapolis,55411,3,1,1,3,184900,pid_21198428/,1911,,,,,,,,
3311 Cleveland Street NE,Minneapolis,55418,3,1,1,3,269900,pid_21098826/,1700,,,,,,,,
487 Ruth Street N,Saint Paul,55119,3,2,0,2,225000,pid_20923060/,1712,,,,,,,,
5256 37th Avenue S,Minneapolis,55417,4,1,2,3,294140,pid_20915082/,2163,,,,,,,,
1991 5th Street E,Saint Paul,55119,2,1,0,2,149000,pid_20880370/,740,,,,,,,,
4163 Burton Lane,Minneapolis,55406,3,1,2,3,428000,pid_20799044/,2758,,,,,,,,
88 Geranium Avenue W,Saint Paul,55117,3,1,1,3,175000,pid_20673377/,1752,,,,,,,,
1721 Cottage Avenue E,Saint Paul,55106,3,1,0,3,153000,pid_20644451/,864,,,,,,,,
2037 Selby Avenue,Saint Paul,55104,3,1,1,3,425000,pid_20369763/,2546,,,,,,,,
2536 28th Avenue S,Minneapolis,55406,4,1,2,5,236000,pid_20368335/,1040,,,,,,,,
5936 Newton Avenue S,Minneapolis,55419,4,2,0,3,274000,pid_20293859/,1629,,,,,,,,
467 Portland Avenue,Saint Paul,55102,6,2,2,3,775000,pid_20124555/,5278,,,,,,,,
2400 13th Avenue S,Minneapolis,55404,5,2,0,3,284900,pid_19844001/,3382,,,,,,,,
463 Mount Curve Boulevard,Saint Paul,55105,4,2,1,3,625000,pid_19819053/,3442,,,,,,,,
1505 Dale Street N,Saint Paul,55117,3,1,1,3,176000,pid_19618443/,1692,,,,,,,,
4710 Dupont Avenue N,Minneapolis,55430,1,1,0,2,86000,pid_19507853/,800,,,,,,,,
642 Brimhall Street,Saint Paul,55116,3,2,1,3,440000,pid_22703672/,2204,,,,,,,,
1524 Alameda Street,Saint Paul,55117,2,1,0,3,180000,pid_21317775/,1103,,,,,,,,
4324 Colfax Avenue S,Minneapolis,55409,3,2,0,3,478500,pid_21028208/,2137,,,,,,,,
682 Lowry Avenue NE,Minneapolis,55418,2,1,0,1,75000,pid_21472968/,864,,,,,,,,
1607 Upton Avenue N,Minneapolis,55411,4,2,0,3,255000,pid_21426090/,2700,,,,,,,,
4718 Emerson Avenue N,Minneapolis,55430,4,3,0,3,265500,pid_21313407/,1745,,,,,,,,
1075 Dale Street N,Saint Paul,55117,3,1,1,3,208750,pid_21204361/,1577,,,,,,,,
1113 Hudson Road,Saint Paul,55106,3,1,0,3,179400,pid_21120610/,1480,,,,,,,,
5752 20th Avenue S,Minneapolis,55417,4,1,1,2,270000,pid_21114646/,1800,,,,,,,,
76 Prospect Boulevard,Saint Paul,55107,4,1,1,2,400000,pid_20407471/,2200,,,,,,,,
1617 Hewitt Avenue,Saint Paul,55104,2,1,1,2,158500,pid_20074991/,1072,,,,,,,,
313 King Street W,Saint Paul,55107,3,1,1,3,207000,pid_21671786/,1423,,,,,,,,
1303 Hubbard Avenue,Saint Paul,55104,4,2,0,3,249900,pid_21073161/,1880,,,,,,,,
678 Maryland Avenue W,Saint Paul,55117,2,2,0,3,170000,pid_20942158/,1770,,,,,,,,
4408 47th Avenue S,Minneapolis,55406,5,2,3,4,550000,pid_20919990/,3920,,,,,,,,
5125 14th Avenue S,Minneapolis,55417,4,1,0,2,364000,pid_20029164/,1368,,,,,,,,
